Open,High,Low,Close,Volume
1216500,1216500,1216450,1216500,5501
1216500,1216900,1216500,1216900,7374
1216900,1217200,1216900,1217200,3280
1217100,1217600,1217100,1217300,5096
1217400,1217600,1217400,1217600,1600
1217500,1217600,1217400,1217600,3684
1217700,1217996,1217700,1217900,2833
1217900,1217900,1217601,1217800,2441
1217800,1218099,1217800,1218044,11326
1218100,1218100,1217801,1218100,2012
1218096,1218096,1217800,1218000,1338
1217800,1218000,1217800,1218000,1818
1217950,1218400,1217950,1218300,10338
1218200,1218200,1217900,1217900,1511
1218000,1218100,1217920,1218000,7701
1218020,1218100,1217900,1218000,3201
1218000,1218100,1217900,1218000,5959
1218000,1218100,1218000,1218100,1937
1218088,1218100,1218000,1218000,10720
1218100,1218100,1217900,1218000,511
1218000,1218099,1217900,1218099,7590
1217901,1218323,1217901,1218000,3938
1218300,1218400,1218300,1218350,3612
1218400,1218900,1218299,1218900,11334
1218900,1219300,1218802,1219116,15222
1218900,1219200,1218900,1219200,4070
1219180,1219199,1219025,1219199,1034
1219001,1219100,1219000,1219000,3465
1219000,1219200,1219000,1219000,3037
1219000,1219000,1218700,1218701,536
1218700,1219000,1218700,1218999,7629
1219000,1219100,1218900,1219060,8995
1219000,1219100,1219000,1219100,1802
1219100,1219600,1218990,1219600,4754
1219600,1219600,1219500,1219500,6724
1219499,1220100,1219400,1220100,47762
1220100,1220300,1219800,1220300,5303
1220200,1220600,1220200,1220200,22600
1220300,1220600,1220200,1220342,7369
1220599,1220600,1220400,1220600,2492
1220600,1220600,1220320,1220455,6471
1220450,1220700,1220400,1220700,9242
1220700,1220700,1220490,1220640,2194
1220450,1220700,1220450,1220552,5719
1220600,1220610,1219700,1219810,19903
1219790,1220200,1219725,1219997,6936
1220000,1220000,1219900,1219970,4604
1220000,1220100,1219900,1220100,4723
1220000,1220192,1219900,1220192,2740
1220099,1220099,1220001,1220010,7732
1220000,1220000,1219900,1220000,1220
1219900,1220100,1219900,1220100,4870
1219901,1220100,1219901,1220000,4286
1220100,1220200,1220100,1220100,4609
1220101,1220199,1220000,1220000,1113
1220069,1220069,1219600,1219850,4810
1219800,1220200,1219700,1220200,1600
1219800,1219800,1219700,1219790,1432
1219700,1219800,1219700,1219800,1605
1219800,1219800,1219601,1219601,2080
1219600,1219892,1218600,1218700,15806
1218900,1219499,1218700,1218700,7100
1218700,1218900,1218300,1218300,2225
1218450,1218700,1218300,1218600,3618
1218600,1218900,1218550,1218900,4235
1218900,1219000,1218600,1219000,6000
1218672,1218800,1218500,1218800,18066
1218890,1218897,1218600,1218699,2581
1218600,1218800,1218600,1218700,2481
1218800,1219300,1218600,1219300,12528
1219220,1219398,1219000,1219200,4724
1219189,1219400,1219189,1219400,1737
1219330,1219400,1218900,1218900,6112
1219200,1219200,1218900,1218950,7256
1219000,1219000,1218900,1218900,1452
1218972,1218972,1218700,1218700,2339
1218700,1218900,1218700,1218800,610
1218900,1219300,1218900,1219200,2111
1219200,1219399,1219200,1219200,2278
1219200,1219300,1219200,1219200,1200
1219200,1219399,1219000,1219399,3136
1219200,1219300,1218900,1218900,2802
1219000,1219000,1218900,1219000,4704
1218901,1219399,1218901,1219399,2232
1219301,1219600,1219301,1219400,3985
1219500,1219500,1219300,1219400,1122
1219400,1219500,1219400,1219447,520
1219500,1219600,1219500,1219600,805
1219308,1219770,1219308,1219770,2052
1219700,1220400,1219700,1220301,9624
1220400,1220500,1220400,1220500,2200
1220500,1220700,1220500,1220500,6994
1220414,1220700,1220400,1220700,5892
1220499,1220700,1220499,1220700,15096
1220505,1220900,1220505,1220700,14232
1220601,1220750,1220601,1220700,1557
1220750,1220750,1220600,1220600,1210
1220701,1220900,1220600,1220900,3984
1220953,1221400,1220920,1221300,8771
1221500,1221600,1221300,1221300,25538
1221500,1221500,1221261,1221400,7400
1221450,1221600,1221200,1221499,6347
1221301,1221400,1221000,1221058,7480
1221000,1221000,1221000,1221000,270
1221040,1221300,1221040,1221100,4251
1221000,1221100,1221000,1221100,4402
1221001,1221400,1220800,1221400,11084
1221399,1221400,1221301,1221301,284
1221500,1221600,1221200,1221400,5505
1221400,1221400,1221200,1221399,2429
1221330,1221400,1221300,1221310,3076
1221400,1221579,1221400,1221400,839
1221400,1221500,1221399,1221399,2601
1221400,1221400,1221300,1221300,3520
1221300,1221400,1221300,1221340,5759
1221310,1221400,1221310,1221310,4217
1221399,1221400,1220700,1220700,5361
1220700,1221000,1220700,1221000,2419
1221000,1221300,1221000,1221300,5800
1221201,1221350,1221100,1221103,2895
1221100,1221100,1220907,1220907,2585
1221000,1221100,1220900,1220900,1648
1220900,1221100,1220900,1221090,1526
1221100,1221100,1221000,1221050,1807
1221099,1221100,1221000,1221000,5500
1221100,1221400,1221100,1221300,12299
1221400,1221500,1221100,1221400,8629
1221500,1221700,1221500,1221700,2073
1221700,1221800,1221400,1221740,975
1221700,1221800,1221690,1221800,6003
1221700,1222200,1221700,1222000,15355
1222200,1222600,1222099,1222600,26047
1222523,1222600,1222000,1222500,3641
1222550,1222600,1222523,1222600,2251
